runnumber,run_time,number_of_events,number_of_tracks,number_of_tracks_PIX,number_of_tracks_FPIX,number_of_tracks_BPIX,number_of_tracks_TID,number_of_tracks_TIDM,number_of_tracks_TIDP,number_of_tracks_TIB,number_of_tracks_TEC,number_of_tracks_TECP,number_of_tracks_TECM,number_of_tracks_TOB,number_of_tracks_TID_1,number_of_tracks_TID_1_plus,number_of_tracks_TID_1_minus,number_of_tracks_TID_2,number_of_tracks_TID_2_plus,number_of_tracks_TID_2_minus,number_of_tracks_TID_3,number_of_tracks_TID_3_plus,number_of_tracks_TID_3_minus,number_of_tracks_TEC_1,number_of_tracks_TEC_1_plus,number_of_tracks_TEC_1_minus,number_of_tracks_TEC_2,number_of_tracks_TEC_2_plus,number_of_tracks_TEC_2_minus,number_of_tracks_TEC_3,number_of_tracks_TEC_3_plus,number_of_tracks_TEC_3_minus,number_of_tracks_TEC_4,number_of_tracks_TEC_4_plus,number_of_tracks_TEC_4_minus,number_of_tracks_TEC_5,number_of_tracks_TEC_5_plus,number_of_tracks_TEC_5_minus,number_of_tracks_TEC_6,number_of_tracks_TEC_6_plus,number_of_tracks_TEC_6_minus,number_of_tracks_TEC_7,number_of_tracks_TEC_7_plus,number_of_tracks_TEC_7_minus,number_of_tracks_TEC_8,number_of_tracks_TEC_8_plus,number_of_tracks_TEC_8_minus,number_of_tracks_TEC_9,number_of_tracks_TEC_9_plus,number_of_tracks_TEC_9_minus
343001,163,3.558282208588957,1.950920245398773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17791411042944785,0.08588957055214724,0.09202453987730061,1.883435582822086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12269938650306748,0.06134969325153374,0.06134969325153374,0.11042944785276074,0.06748466257668712,0.04294478527607362,0.10429447852760736,0.06134969325153374,0.04294478527607362,0.06748466257668712,0.03067484662576687,0.03680981595092025,0.0736196319018405,0.03680981595092025,0.03680981595092025,0.06134969325153374,0.03067484662576687,0.03067484662576687,0.049079754601226995,0.03067484662576687,0.018404907975460124,0.024539877300613498,0.018404907975460124,0.006134969325153374,0.012269938650306749,0.012269938650306749,0.0
343005,443,3.469525959367946,2.128668171557562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21670428893905191,0.10835214446952596,0.11060948081264109,2.0654627539503387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17155756207674944,0.08803611738148984,0.08577878103837472,0.12866817155756208,0.06320541760722348,0.0654627539503386,0.09255079006772009,0.03160270880361174,0.060948081264108354,0.05417607223476298,0.022573363431151242,0.03160270880361174,0.06320541760722348,0.022573363431151242,0.040632054176072234,0.056433408577878104,0.022573363431151242,0.033860045146726865,0.03160270880361174,0.013544018058690745,0.01805869074492099,0.022573363431151242,0.004514672686230248,0.01805869074492099,0.011286681715575621,0.0,0.011286681715575621
343007,6918,0.3764093668690373,0.09482509395779128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09482509395779128,0.03917317143683145,0.05608557386527898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06533680254408789,0.026886383347788378,0.038884070540618675,0.07025151777970512,0.028910089621277824,0.04148597860653368,0.07487713211910957,0.030500144550448107,0.04481063891298063,0.07531078346342873,0.030355594102341718,0.045388840705406185,0.07661173749638624,0.030500144550448107,0.0465452442902573,0.06822781150621567,0.028910089621277824,0.03975137322925701,0.05160450997398092,0.022405319456490314,0.029488291413703384,0.035703960682278116,0.016045099739809193,0.01980341139057531,0.02153801676785198,0.009540329575021683,0.012142237640936688
343009,1461,3.5496235455167695,2.1033538672142367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22518822724161533,0.11156741957563313,0.1136208076659822,2.019164955509925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16837782340862423,0.08966461327857632,0.07871321013004791,0.13963039014373715,0.06913073237508556,0.07049965776865161,0.12457221081451061,0.053388090349075976,0.07118412046543464,0.09582477754962354,0.04106776180698152,0.05475701574264202,0.08418891170431211,0.03696098562628337,0.04722792607802875,0.07460643394934977,0.02806297056810404,0.04654346338124572,0.05475701574264202,0.02053388090349076,0.034223134839151265,0.04243668720054757,0.018480492813141684,0.023956194387405885,0.022587268993839837,0.00889801505817933,0.013689253935660506
343018,2967,3.6632962588473204,2.1638018200202223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22345803842264914,0.11156049882035726,0.1122345803842265,2.0788675429726995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.09167509268621503,0.08257499157398045,0.1462756993596225,0.07145264577013818,0.07516009437141895,0.12066059993259184,0.056285810583080555,0.06471183013144591,0.10144927536231885,0.05089315807212673,0.05089315807212673,0.09133805190428042,0.04179305695989215,0.04988203572632288,0.07650825749915739,0.032018874283788336,0.044826423997303674,0.0525783619817998,0.022244691607684528,0.03067071115604988,0.03673744523087293,0.01752612066059993,0.01954836535220762,0.022244691607684528,0.010111223458038422,0.01247050893158072
343025,14,4.214285714285714,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.07142857142857142,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343034,89987,1.784924489092869,1.0086568059830865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10012557369397802,0.0487737117583651,0.05158522897751897,0.9761965617255826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07974485203418272,0.04025025837065354,0.03971684798915399,0.06409814751019592,0.028259637503194907,0.0360274261837821,0.051618567126362695,0.021091935501794702,0.030726660517630323,0.040016891328747486,0.015524464644893151,0.024659117428072943,0.03570515741162612,0.013768655472457132,0.02211430539966884,0.028615244424194605,0.01121273072777179,0.017546979008078945,0.020158467334170493,0.007990043006212009,0.01230177692333337,0.013913120784113261,0.005489681842932868,0.008545678820274039,0.008001155722493249,0.0031115605587473745,0.004967384177714558
343042,5261,3.4309066717354115,1.996198441360958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19026800988405246,0.09085725147310397,0.09979091427485269,1.9304314769055313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15339289108534498,0.07565101691693595,0.07812203003231324,0.12564151302033835,0.0524615092187797,0.07356015966546284,0.09941075841094849,0.03763543052651587,0.06215548374833682,0.07793195210036115,0.030602547044288157,0.04770956091997719,0.07051891275422924,0.028891845656719255,0.04200722296141418,0.05759361338148641,0.021668884242539443,0.03611480707089907,0.04181714502946208,0.01596654628397643,0.02604067667743775,0.028321611860862954,0.01045428625736552,0.017867325603497432,0.016346702147880632,0.006272571754419312,0.01007413039346132
343045,387,3.4599483204134365,1.9974160206718345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.10594315245478036,0.08010335917312661,1.950904392764858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14728682170542637,0.07493540051679587,0.07235142118863049,0.11369509043927649,0.059431524547803614,0.05426356589147287,0.08527131782945736,0.04392764857881137,0.041343669250646,0.05426356589147287,0.031007751937984496,0.023255813953488372,0.056847545219638244,0.03875968992248062,0.01808785529715762,0.04392764857881137,0.025839793281653745,0.01808785529715762,0.031007751937984496,0.023255813953488372,0.007751937984496124,0.023255813953488372,0.015503875968992248,0.007751937984496124,0.01808785529715762,0.0103359173126615,0.007751937984496124
343046,7494,3.4131305044035227,1.9846543901788096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1965572457966373,0.09580998131838804,0.10088070456365092,1.9182012276487856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15225513744328797,0.07632772884974647,0.07606084867894315,0.1203629570322925,0.05284227381905524,0.06765412329863892,0.09994662396583934,0.03976514544969309,0.060314918601547904,0.08193221243661596,0.032025620496397116,0.0500400320256205,0.0717907659460902,0.02842273819055244,0.04350146784093942,0.0600480384307446,0.024552975713904458,0.03562850280224179,0.039631705364291434,0.016813450760608487,0.0229516946890846,0.02695489725113424,0.011609287429943955,0.01547904990659194,0.015345609821190286,0.007339204697091006,0.008006405124099279
