##################################################
         Track rate for each run number           
##################################################
runnum :343001, # of tracks :318, track rates :1.95      
runnum :343005, # of tracks :943, track rates :2.13      
runnum :343007, # of tracks :656, track rates :0.09      
runnum :343009, # of tracks :3073, track rates :2.10      
runnum :343018, # of tracks :6420, track rates :2.16      
runnum :343025, # of tracks :36, track rates :2.57      
runnum :343034, # of tracks :90766, track rates :1.01      
runnum :343042, # of tracks :10502, track rates :2.00      
runnum :343045, # of tracks :773, track rates :2.00      
runnum :343046, # of tracks :14873, track rates :1.98      
runnum :343059, # of tracks :2239, track rates :2.03      
runnum :343068, # of tracks :21981, track rates :1.89      
runnum :343070, # of tracks :2762, track rates :1.94      
runnum :343080, # of tracks :12128, track rates :1.99      
runnum :343082, # of tracks :73505, track rates :1.92      
runnum :343164, # of tracks :381, track rates :2.03      
runnum :343167, # of tracks :4522, track rates :2.04      
runnum :343169, # of tracks :1901, track rates :2.08      
runnum :343170, # of tracks :278, track rates :1.66      
runnum :343171, # of tracks :12622, track rates :2.08      
runnum :343259, # of tracks :599, track rates :1.75      
runnum :343260, # of tracks :426, track rates :1.88      
runnum :343266, # of tracks :55242, track rates :1.01      
runnum :343268, # of tracks :8471, track rates :1.11      
runnum :343375, # of tracks :766, track rates :2.59      
runnum :343380, # of tracks :623, track rates :0.77      
runnum :343385, # of tracks :299, track rates :0.74      
runnum :343386, # of tracks :1044, track rates :1.34      
runnum :343387, # of tracks :82940, track rates :2.13      
runnum :343484, # of tracks :2, track rates :0.00      
runnum :343494, # of tracks :3607, track rates :2.58      
runnum :343496, # of tracks :25751, track rates :2.65      
runnum :343498, # of tracks :79926, track rates :2.63      
runnum :343501, # of tracks :743, track rates :2.74      
runnum :343609, # of tracks :11336, track rates :2.31      
runnum :343619, # of tracks :54547, track rates :1.24      
runnum :343621, # of tracks :29899, track rates :2.10      
runnum :343623, # of tracks :5745, track rates :2.35      
runnum :343625, # of tracks :52467, track rates :2.28      
runnum :343627, # of tracks :386, track rates :2.31      
runnum :343629, # of tracks :207, track rates :2.69      
runnum :343638, # of tracks :17900, track rates :2.27      
runnum :343640, # of tracks :17000, track rates :1.92      
runnum :343642, # of tracks :99206, track rates :2.21      
runnum :343644, # of tracks :26700, track rates :2.29      
runnum :343646, # of tracks :3527, track rates :2.30      
runnum :343648, # of tracks :9256, track rates :2.24      
runnum :343650, # of tracks :115, track rates :3.19      
runnum :343652, # of tracks :240, track rates :2.45      
runnum :343663, # of tracks :1496, track rates :2.21      
runnum :343668, # of tracks :13509, track rates :2.29      
runnum :343673, # of tracks :53, track rates :0.11      
runnum :343677, # of tracks :45860, track rates :1.10      
runnum :343680, # of tracks :64444, track rates :2.28      
runnum :343762, # of tracks :30, track rates :0.13      
runnum :343763, # of tracks :39, track rates :0.10      
runnum :343767, # of tracks :8601, track rates :1.38      
runnum :343769, # of tracks :1859, track rates :1.52      
runnum :343772, # of tracks :2773, track rates :1.01      
runnum :343774, # of tracks :90791, track rates :0.79      
runnum :343854, # of tracks :25, track rates :0.11      
runnum :343860, # of tracks :3062, track rates :2.77      
runnum :343862, # of tracks :104841, track rates :1.54      
runnum :343864, # of tracks :13293, track rates :2.13      
runnum :343866, # of tracks :83, track rates :0.13      
runnum :343921, # of tracks :62, track rates :0.12      
runnum :343923, # of tracks :10, track rates :0.06      
runnum :343925, # of tracks :61, track rates :0.15      
runnum :343927, # of tracks :13, track rates :0.05      
runnum :343928, # of tracks :26, track rates :0.03      
runnum :343932, # of tracks :22, track rates :0.03      
runnum :343934, # of tracks :6068, track rates :2.60      
runnum :343936, # of tracks :24208, track rates :2.72      
runnum :343937, # of tracks :107415, track rates :2.74      
runnum :343993, # of tracks :135, track rates :0.03      
runnum :344001, # of tracks :141036, track rates :2.57      
runnum :344049, # of tracks :3136, track rates :1.99      
runnum :344058, # of tracks :88, track rates :0.03      
runnum :344062, # of tracks :1601, track rates :2.81      
runnum :344063, # of tracks :205394, track rates :1.74      
runnum :344064, # of tracks :236088, track rates :1.26      
runnum :344065, # of tracks :8129, track rates :2.46      
runnum :344067, # of tracks :47130, track rates :1.56      
runnum :344068, # of tracks :96933, track rates :1.45      
runnum :344121, # of tracks :7615, track rates :2.53      
runnum :344124, # of tracks :13, track rates :0.01      
runnum :344128, # of tracks :267, track rates :0.11      
runnum :344134, # of tracks :123277, track rates :0.73      
runnum :344184, # of tracks :3975, track rates :2.01      
runnum :344185, # of tracks :7748, track rates :2.26      
runnum :344186, # of tracks :89846, track rates :0.91      
runnum :344187, # of tracks :176, track rates :1.93      
runnum :344188, # of tracks :8140, track rates :2.23      
runnum :344259, # of tracks :440, track rates :2.29      
runnum :344260, # of tracks :3310, track rates :2.24      
runnum :344265, # of tracks :47, track rates :3.92      
runnum :344266, # of tracks :106283, track rates :2.12      
runnum :344267, # of tracks :4005, track rates :2.39      
runnum :344268, # of tracks :7, track rates :0.01      
runnum :344270, # of tracks :12, track rates :4.00      
runnum :344271, # of tracks :1156, track rates :2.28      
runnum :344272, # of tracks :21, track rates :0.01      
runnum :344348, # of tracks :4755, track rates :2.16      
runnum :344349, # of tracks :98, track rates :4.67      
runnum :344350, # of tracks :707, track rates :2.25      
runnum :344358, # of tracks :22, track rates :0.02      
runnum :344362, # of tracks :59, track rates :0.01      
runnum :344363, # of tracks :2, track rates :0.01      
runnum :344366, # of tracks :65035, track rates :1.82      
runnum :344403, # of tracks :6848, track rates :2.15      
runnum :344409, # of tracks :1651, track rates :2.22      
runnum :344416, # of tracks :3864, track rates :2.24      
runnum :344419, # of tracks :79, track rates :7.18      
runnum :344420, # of tracks :155576, track rates :1.66      
runnum :344421, # of tracks :179846, track rates :2.15      
runnum :344423, # of tracks :124055, track rates :2.13      
runnum :344424, # of tracks :3691, track rates :2.19      
runnum :344426, # of tracks :1475, track rates :2.28      
runnum :344430, # of tracks :2, track rates :0.02      
runnum :344432, # of tracks :141, track rates :1.86      
runnum :344433, # of tracks :2100, track rates :2.17      
runnum :344434, # of tracks :980, track rates :2.07      
runnum :344436, # of tracks :2337, track rates :2.07      
runnum :344518, # of tracks :86774, track rates :1.44      
runnum :344519, # of tracks :2794, track rates :2.19      
runnum :344520, # of tracks :4661, track rates :1.99      
runnum :344529, # of tracks :8, track rates :2.00      
runnum :344533, # of tracks :73, track rates :2.81      
runnum :344536, # of tracks :2, track rates :0.01      
runnum :344538, # of tracks :28254, track rates :1.91      
runnum :344555, # of tracks :2083, track rates :1.94      
runnum :344558, # of tracks :2353, track rates :1.98      
runnum :344560, # of tracks :603, track rates :2.02      
runnum :344561, # of tracks :1119, track rates :2.01      
runnum :344562, # of tracks :11, track rates :0.02      
runnum :344565, # of tracks :762, track rates :1.90      
runnum :344566, # of tracks :87894, track rates :1.76      
runnum :344567, # of tracks :2817, track rates :1.85      
runnum :344568, # of tracks :6566, track rates :1.85      
runnum :344606, # of tracks :1074, track rates :1.78      
runnum :344607, # of tracks :2355, track rates :1.77      
runnum :344617, # of tracks :217, track rates :2.24      
runnum :344618, # of tracks :1773, track rates :2.12      
runnum :344621, # of tracks :5998, track rates :2.05      
runnum :344625, # of tracks :22, track rates :0.01      
runnum :344632, # of tracks :107764, track rates :1.49      
runnum :344633, # of tracks :7691, track rates :1.72      
runnum :344634, # of tracks :1824, track rates :2.13      
runnum :344654, # of tracks :0, track rates :0.00      
runnum :344657, # of tracks :5800, track rates :2.03      
runnum :344665, # of tracks :2623, track rates :2.04      
runnum :344666, # of tracks :1115, track rates :2.14      
runnum :344675, # of tracks :1, track rates :0.00      
runnum :344677, # of tracks :2700, track rates :1.21      
runnum :344678, # of tracks :1569, track rates :2.07      
runnum :344679, # of tracks :113862, track rates :1.92      
runnum :344680, # of tracks :889, track rates :2.12      
runnum :344681, # of tracks :30463, track rates :2.02      


##################################################
    Some information on total number of tracks    
##################################################
Total # of tracks   : 3502138


