runnumber,run_time,number_of_events,number_of_tracks,number_of_hits_Total,number_of_hits_PIX,number_of_hits_BPIX,number_of_hits_BPIX_layer1,number_of_hits_BPIX_layer2,number_of_hits_BPIX_layer3,number_of_hits_BPIX_layer4,number_of_hits_FPIX,number_of_hits_FPIX_disk1,number_of_hits_FPIX_disk2,number_of_hits_FPIX_disk3,number_of_hits_FPIX_disk1_plus,number_of_hits_FPIX_disk1_minus,number_of_hits_FPIX_disk2_plus,number_of_hits_FPIX_disk2_minus,number_of_hits_FPIX_disk3_plus,number_of_hits_FPIX_disk3_minus
344064,244    ,569,319,5669,93,64,3,9,20,32,29,6,8,15,2,4,4,4,7,8
344065,475    ,518,301,5508,109,102,3,13,38,48,7,2,2,3,2,0,2,0,3,0
344067,248    ,562,342,6167,108,88,4,15,29,40,20,8,6,6,3,5,2,4,3,3
344184,1651   ,4993,2613,45861,922,780,55,135,233,357,142,68,31,43,26,42,9,22,19,24
344185,2947   ,6444,3345,58279,1099,954,73,214,285,382,145,55,43,47,21,34,16,27,30,17
344186,33606  ,136580,71647,1259671,23850,20505,1489,3699,6072,9245,3345,1197,1123,1025,592,605,567,556,493,532
344348,784    ,1002,585,10368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344366,4725   ,7489,4309,75352,1239,1113,83,199,347,484,126,45,39,42,27,18,11,28,22,20
344064,37772  ,172214,101239,1772173,29318,25140,1402,4474,7657,11607,4178,1535,1484,1159,663,872,713,771,582,577
344065,3308   ,13356,7827,137910,2150,1834,105,316,560,853,316,117,114,85,53,64,43,71,47,38
344067,17177  ,80090,46790,819174,13056,11183,632,2050,3403,5098,1873,682,624,567,352,330,268,356,241,326
344068,11801  ,17952,10418,183029,3022,2579,175,449,789,1166,443,165,151,127,73,92,70,81,52,75
344124,44     ,2,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344128,108    ,23,14,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344184,1527   ,1647,864,15093,231,183,6,37,54,86,48,21,22,5,8,13,15,7,3,2
344185,3435   ,8292,4403,76670,1466,1225,92,236,352,545,241,89,82,70,35,54,35,47,32,38
344186,37294  ,5625,2943,51663,1000,853,55,142,245,411,147,51,55,41,30,21,25,30,13,28
344348,2205   ,7192,4170,72157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344349,21     ,182,98,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344350,314    ,1270,707,12489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344358,1426   ,39,22,337,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
344362,5784   ,107,59,894,10,5,0,0,0,5,5,3,1,1,1,2,0,1,0,1
344363,256    ,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344366,7263   ,20124,11714,208159,3565,3126,197,566,934,1429,439,197,130,112,83,114,62,68,53,59
343772,32     ,151,86,1364,21,12,0,4,1,7,9,3,5,1,0,3,4,1,1,0
343854,233    ,51,25,377,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0
343860,1105   ,5201,3062,54087,926,775,45,145,233,352,151,56,58,37,23,33,31,27,21,16
343862,4544   ,20641,12114,212434,3403,2906,165,500,885,1356,497,179,173,145,82,97,76,97,81,64
344064,44856  ,16903,9986,174406,2786,2429,139,455,731,1104,357,152,114,91,60,92,63,51,49,42
343862,34441  ,152541,89452,1564497,24866,21276,1246,3717,6433,9880,3590,1335,1252,1003,622,713,624,628,451,552
343864,2102   ,5014,2980,51827,820,719,35,134,234,316,101,38,31,32,20,18,14,17,13,19
344366,47     ,204,119,2136,26,19,2,3,6,8,7,4,3,0,0,4,1,2,0,0
344409,163    ,660,365,6220,83,75,4,13,20,38,8,4,0,4,0,4,0,0,3,1
344416,8      ,113,66,1185,16,14,2,2,5,5,2,2,0,0,0,2,0,0,0,0
344420,1377   ,4829,2802,49824,871,753,63,128,223,339,118,50,38,30,26,24,9,29,17,13
343937,14542  ,60504,35442,619804,10080,8616,474,1535,2708,3899,1464,544,527,393,249,295,223,304,187,206
343993,3967   ,179,135,2284,14,9,0,0,4,5,5,2,2,1,0,2,0,2,0,1
344001,6988   ,29698,17553,303954,4896,4139,249,747,1234,1909,757,259,270,228,134,125,120,150,115,113
344049,95     ,558,309,5374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344063,5372   ,24234,14081,245225,3820,3287,166,579,1006,1536,533,202,182,149,97,105,87,95,65,84
344423,9623   ,35375,20219,359035,6099,5379,367,1022,1591,2399,720,261,243,216,130,131,85,158,89,127
344424,1687   ,6346,3691,65429,1099,927,71,166,281,409,172,59,72,41,11,48,26,46,18,23
344426,610    ,2354,1358,23850,383,352,30,67,106,149,31,17,6,8,5,12,0,6,1,7
344430,90     ,4,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344432,76     ,245,141,2501,56,47,7,11,14,15,9,4,1,4,0,4,0,1,1,3
344433,963    ,3587,2074,36843,640,558,46,110,157,245,82,33,35,14,9,24,24,11,9,5
344434,473    ,1660,980,17156,345,298,14,56,94,134,47,11,24,12,9,2,22,2,8,4
344436,154    ,649,364,6413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344420,12333  ,45152,26134,462275,7805,6890,492,1361,2029,3008,915,355,307,253,189,166,155,152,129,124
344421,283    ,1080,629,10754,182,163,12,22,59,70,19,9,6,4,3,6,1,5,1,3
344423,48590  ,179122,103730,1837281,32287,28277,2003,5214,8410,12650,4010,1513,1385,1112,707,806,563,822,509,603
343266,31936  ,22784,13109,228093,1969,1475,179,513,314,469,494,209,172,113,77,132,89,83,62,51
343268,7652   ,1412,804,14118,123,97,8,25,23,41,26,11,9,6,1,10,4,5,4,2
343375,296    ,107,60,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343385,405    ,518,299,5143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343386,332    ,174,111,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343387,2582   ,9849,5508,93963,719,498,68,186,101,143,221,100,75,46,61,39,37,38,18,28
343001,163    ,580,318,4303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343004,359    ,1351,788,10672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343005,443    ,1537,943,13012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343007,6918   ,2533,637,6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343009,1461   ,4522,2687,36826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343018,2931   ,10652,6290,86109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343025,14     ,59,36,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343018,36     ,217,130,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343034,44434  ,155287,87744,1203873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343042,5261   ,18049,10502,133326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343045,387    ,1339,773,9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343046,7494   ,25578,14872,190057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343059,1062   ,3677,2115,26920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343068,11127  ,36267,21002,267924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343070,1426   ,4871,2762,34675,116,0,0,0,0,0,116,36,49,31,16,20,30,19,12,19
343080,6094   ,20985,12128,151889,513,0,0,0,0,0,513,185,192,136,92,93,102,90,48,88
343082,38168  ,129158,73343,920526,3158,0,0,0,0,0,3158,1146,1059,953,585,561,516,543,447,506
343862,22860  ,754,440,7438,102,81,3,10,29,39,21,6,4,11,2,4,3,1,6,5
343866,99     ,39,17,283,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
343925,88     ,38,14,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343928,35     ,3,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343934,16     ,113,70,1246,30,24,1,3,10,10,6,4,0,2,0,4,0,0,0,2
343937,16107  ,75057,43903,771625,12596,10890,620,1974,3360,4936,1706,665,555,486,319,346,260,295,246,240
344063,3836   ,17349,10192,179064,2932,2505,135,433,764,1173,427,182,144,101,82,100,74,70,37,64
344134,25552  ,1392,734,13077,315,262,19,55,80,108,53,26,13,14,11,15,9,4,5,9
344186,14419  ,22226,11829,206652,3764,3157,198,568,936,1455,607,224,185,198,98,126,93,92,101,97
344187,91     ,308,176,3093,73,72,11,17,17,27,1,0,0,1,0,0,0,0,0,1
344188,3645   ,13054,6839,120415,2234,1968,144,371,596,857,266,93,87,86,52,41,47,40,29,57
344258,143    ,50,10,109,4,0,0,0,0,0,4,1,3,0,0,1,0,3,0,0
344259,192    ,884,440,7511,105,87,10,18,26,33,18,8,7,3,0,8,5,2,2,1
344260,1477   ,5438,2826,49235,868,731,53,141,218,319,137,56,49,32,34,22,25,24,11,21
344265,12     ,74,47,828,24,21,0,3,7,11,3,1,2,0,1,0,2,0,0,0
344266,8906   ,24925,13134,230673,4399,3749,256,672,1130,1691,650,262,213,175,115,147,114,99,87,88
344186,6240   ,4643,2383,41949,732,605,34,101,189,281,127,40,44,43,24,16,31,13,21,22
344188,3009   ,2554,1301,22739,507,437,37,75,131,194,70,18,36,16,10,8,11,25,8,8
344260,497    ,968,484,8093,127,102,7,17,31,47,25,10,7,8,10,0,4,3,3,5
344266,21238  ,62386,32791,575395,10903,9305,684,1640,2807,4174,1598,609,548,441,308,301,259,289,196,245
344001,45501  ,17787,10582,183841,3024,2574,148,505,770,1151,450,161,167,122,85,76,88,79,59,63
344064,28179  ,2778,1623,28179,343,285,21,45,97,122,58,21,15,22,17,4,9,6,15,7
344068,22321  ,1695,974,17265,261,234,8,33,70,123,27,13,4,10,5,8,2,2,1,9
344128,2407   ,380,162,2385,19,14,0,3,4,7,5,2,0,3,2,0,0,0,3,0
